features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4504,$5 a Day,Movie,http://www.imdb.com/title/tt1024733/?ref_=nv_sr_1,6600 Zuni SE,Ballut Abyad Shrine Center,1191456000000,null,-106.574070561746,35.0727009479301,,,,,,,,,,,,,,,,,
4505,$5 a Day,Movie,http://www.imdb.com/title/tt1024733/?ref_=nv_sr_1,330 Tijeras Avenue NW,Hyatt Hotel,1191542400000,null,-106.651030818562,35.086592718513,,,,,,,,,,,,,,,,,
4506,$5 a Day,Movie,http://www.imdb.com/title/tt1024733/?ref_=nv_sr_1,610 Gold SW,Naral Office,1191542400000,null,-106.654817536386,35.0839268401337,,,,,,,,,,,,,,,,,
4507,$5 a Day,Movie,http://www.imdb.com/title/tt1024733/?ref_=nv_sr_1,423 1st Street SW,El Madrid Bar ,1191542400000,null,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4508,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294099200000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4509,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294185600000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4510,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294272000000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4511,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294358400000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4512,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294617600000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4513,10 Years,Movie,http://www.imdb.com/title/tt1715873/,1 Civic Plaza NW,Albuquerque Civic Plaza,1294704000000,Civic Plaza - park area,-106.649799149255,35.0873879689807,,,,,,,,,,,,,,,,,
4514,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294704000000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4515,10 Years,Movie,http://www.imdb.com/title/tt1715873/,401 2nd Street NW,Albuquerque Convention Center,1294704000000,Albuquerque Convention Center parking garage,-106.648576342728,35.0878302307802,,,,,,,,,,,,,,,,,
4516,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294790400000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4517,10 Years,Movie,http://www.imdb.com/title/tt1715873/,2200 Sunport Boulevard SE,Albuquerque International Sunport,1294790400000,Albuquerque Sunport,-106.618641735802,35.0497104166867,,,,,,,,,,,,,,,,,
4518,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294876800000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4519,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1294963200000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4520,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1295222400000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4521,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1295308800000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4522,10 Years,Movie,http://www.imdb.com/title/tt1715873/,125 2nd Street NW,Hotel Andaluz,1295395200000,Hotel Andaluz - 125 2nd St. NW,-106.649047362669,35.0852185726466,,,,,,,,,,,,,,,,,
4523,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1295481600000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4524,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1295568000000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4525,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1295827200000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4526,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1295913600000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4527,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1296000000000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4528,10 Years,Movie,http://www.imdb.com/title/tt1715873/,423 1st Street SW,El Madrid Bar ,1296086400000,El Madrid Bar- 423 1st SW,-106.648782372236,35.0802714230614,,,,,,,,,,,,,,,,,
4529,10 Years,Movie,http://www.imdb.com/title/tt1715873/,5555 Zuni Road SE,John Brooks Food Town,1296172800000,John Brooks Grocery Store - 5555 Zuni SE,-106.58519652173,35.0728900895616,,,,,,,,,,,,,,,,,
4530,15 Good Reasons to go to Albuquerque,TV Production,na,9201 Balloon Museum Drive NE,Anderson Abruzzo Albuquerque Intl Balloon Fiesta Park,1336435200000,Balloon Museum,-106.597784275142,35.1865789003516,,,,,,,,,,,,,,,,,
4531,2 Guns,Movie,http://www.imdb.com/title/tt1272878/,51 Lead Avenue SW,Lead Avenue Overpass,1346025600000,Lead overpass (between Broadway and Second Streets) SW - Road closure on WB Lead overpass btw Broadway and Second St SW,-106.647588549851,35.0810197458232,,,,,,,,,,,,,,,,,
4532,2 Guns,Movie,http://www.imdb.com/title/tt1272878/,101 Atrisco Vista Boulevard NW,Atrisco Vista Boulevard between I40 and Jim McDowell Road,1347235200000,Atrisco Vista (formerly Paseo Del Volcan) between I-40 and Jim McDowell Rd,-106.786572091635,35.0627840234472,,,,,,,,,,,,,,,,,
4533,2 Guns,Movie,http://www.imdb.com/title/tt1272878/,901 2nd Street SW,2nd Street SW between Atlantic Avenue SW and Bridge Boulevard SW,1347321600000,Second Street between Bridge and Atlantic - ITC on 2nd between Bridge and Atlantic,-106.650861080092,35.0766252567474,,,,,,,,,,,,,,,,,
4534,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,1901 University Boulevard NE,Albuquerque Crowne Plaza interior,1347926400000,Albuquerque Crowne Plaza - interior - 1901 University NE - no ITC/no closures,-106.623859711521,35.1070587875301,,,,,,,,,,,,,,,,,
4535,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,4208 Central Avenue SW,KMart,1348099200000,4208 Central SW - K-mart - no ITC/no closures,-106.686488947878,35.0853392742746,,,,,,,,,,,,,,,,,
4536,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,7500 Central Avenue SW,Westward Ho Motel,1348099200000,Westward Ho Motel - 7500 Central Ave SW - ITC  on Central between Unser and Airport and on 75th Street from 75th to Central,-106.719021461045,35.0779367342581,,,,,,,,,,,,,,,,,
4537,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,2601 Yale Boulevard SE,Hilton Garden Inn,1348185600000,Hilton Garden Inn - 2601 Yale Blvd SE - Closure on Yale (one Lane) from Randolph to Sunport Ct,-106.622000701042,35.0537403230042,,,,,,,,,,,,,,,,,
4538,50 to 1,Movie,http://www.imdb.com/title/tt1777595/,109 4th Street NW,Relux Hookah Lounge,1348272000000,Relux Lounge - 4th st. pedestrian mall - interior - no ITC/no closures,-106.651601585635,35.0847446589857,,,,,,,,,,,,,,,,,
